feature,correlation,abs_correlation
avg_words_per_sentence_QA,-0.14175614743042655,0.14175614743042655
gunning_fog_QA,-0.1417040713543872,0.1417040713543872
flesch_kincaid_QA,-0.13945620921781016,0.13945620921781016
ari_QA,-0.1310110048960781,0.1310110048960781
smog_QA,-0.1251770629368325,0.1251770629368325
adverb_ratio_preparedremark,0.12131627784855592,0.12131627784855592
pronoun_plural_ratio_preparedremark,0.10675747263024896,0.10675747263024896
flesch_ease_QA,0.10127841769061534,0.10127841769061534
lm_constraining_preparedremark,-0.09821238341057566,0.09821238341057566
n_sentences_QA,0.0956003878539772,0.0956003878539772
delta_net_sentiment,0.09474530445533048,0.09474530445533048
lm_positive_preparedremark,0.07997631211947465,0.07997631211947465
lm_net_sentiment_preparedremark,0.07216748425769967,0.07216748425769967
sentiment_divergence,0.06799115650320883,0.06799115650320883
n_sentences_preparedremark,0.057094665751221796,0.057094665751221796
pronoun_plural_ratio_QA,-0.05606801243185601,0.05606801243185601
lm_polarity_preparedremark,0.05392297879985002,0.05392297879985002
lm_complexity_preparedremark,0.05153588126051532,0.05153588126051532
coleman_liau_QA,-0.05009923714274007,0.05009923714274007
coleman_liau_preparedremark,0.046460133488211604,0.046460133488211604
lm_subjectivity_preparedremark,0.042792627879421126,0.042792627879421126
n_words_QA,0.04201072548734331,0.04201072548734331
qa_word_ratio,-0.04086366575424642,0.04086366575424642
dale_chall_preparedremark,0.038629027253116094,0.038629027253116094
flesch_ease_preparedremark,-0.03824376899542598,0.03824376899542598
avg_words_per_sentence_preparedremark,-0.03674713898897389,0.03674713898897389
lm_subjectivity_QA,-0.032578352482840384,0.032578352482840384
lm_constraining_QA,0.03189713153376243,0.03189713153376243
lm_polarity_QA,-0.028513408697877184,0.028513408697877184
lm_negative_preparedremark,-0.025109566321756,0.025109566321756
lm_litigous_preparedremark,0.024020341482173187,0.024020341482173187
adverb_ratio_QA,-0.022431913794411278,0.022431913794411278
lm_complexity_QA,0.02146275959891804,0.02146275959891804
lm_negative_QA,-0.019997975538395062,0.019997975538395062
dale_chall_QA,-0.019194532803243812,0.019194532803243812
n_words_preparedremark,0.015896077074786873,0.015896077074786873
lm_uncertainty_QA,-0.015092039316059711,0.015092039316059711
lm_positive_QA,-0.012603129403218397,0.012603129403218397
smog_preparedremark,0.011259144664913175,0.011259144664913175
delta_complexity,-0.00881294168827072,0.00881294168827072
lm_uncertainty_preparedremark,-0.006390173670235679,0.006390173670235679
lm_net_sentiment_QA,0.00403574072687859,0.00403574072687859
ari_preparedremark,0.003281519115623791,0.003281519115623791
lm_litigous_QA,-0.002816890853899267,0.002816890853899267
flesch_kincaid_preparedremark,0.0024504050274908535,0.0024504050274908535
gunning_fog_preparedremark,0.0019509810293616458,0.0019509810293616458
